"dummy"
"Text_01","分かりました。
……リオードさん。
どうか、お気を付けて。"
"Text_02","……死ぬな。

"
"Text_03","分かっています。
貴方も、どうか――。
"
"Text_04","……っ！
見つけたっ！
エリカさんっ！"
"Text_05","――リオードさん。
ここは私が。
貴方は、貴方のやるべきことを。"
"Text_06","……。

"
"Text_07","アリサさん。
……なぜここに？
"
"Text_08","……無暁の皆さんの横暴を止めるためです。
ブレイドライツ騎士団の皆さんと一緒に、
この国を――。"
"Text_09","――私たちは確かに、一時は手を組みました。
仲間と呼んで差し支えない関係なのかもしれません。
しかし……。"
"Text_10","貴方がそちらに組するのであれば、
話は別です。
"
"Text_11","……っ！
エリカさん！私の話を聞いて下さい！
"
"Text_12","何を聞けと？
貴方は奴らに加担している。
それだけで十分です……。"
"Text_13","加担って……
私は、あの人たちがいい人だと思うから、
お手伝いしたいと思ってるだけですっ！"
"Text_14","……馬鹿なことを。
アリサさん、貴方は何も分かっていません。
"
"Text_15","……っ！
そんなことありません！
"
"Text_16","メイシアさんは、セタスさんは、騎士団の皆さんは……
この国のことを真剣に考えてます！
私、それを知ってます！"
"Text_17","ブレイドライツ騎士団の皆さんは、みんな……
みんな、優しい人です！
"
"Text_18","……そうですか。

"
"Text_19","エリカさんこそ、どうして無暁と一緒にいるんですか？
私が知ってる無暁は、とても怖い人たちです。
あの人たちは命を奪う。命を捨てる……！"
"Text_20","なんでそんな人たちと一緒にいるんですか！
エリカさん！
"
"Text_21","きっと、今の貴方に話しても、
意味のないことです。
……障害となる前に、排除します。"
"Text_22","……っ！
嫌だ……！嫌ですっ！
私、エリカさんと戦いたくないっ！"
"Text_23","であれば、動かないでください。
……私も、不要に傷付けたくはありませんから。
"
"Text_24","エリカさんっ！

"
"Text_25","……一瞬で終わらせます。

"
"Text_26","

"
"Text_27","

"
"Text_28","

"
"Text_29","

"
"Text_30","

"
"Text_31","

"
"Text_32","

"
"Text_33","

"
"Text_34","

"
"Text_35","

"
"Text_36","

"
"Text_37","

"
"Text_38","

"
"Text_39","

"
"Text_40","

"
"Text_41","

"
"Text_42","

"
"Text_43","

"
"Text_44","

"
"Text_45","

"
"Text_46","

"
"Text_47","

"
"Text_48","

"
"Text_49","

"
"Text_50","

"
"Text_51","

"
"Text_52","

"
"Text_53","

"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
