"dummy"
"Text_01","……っ。
あいたぁっ！？
"
"Text_02","あいたたた……
と、跳べたの……かな？
"
"Text_03","……街、だよね？
でも、水が流れてるし……。
"
"Text_04","……。

"
"Text_05","ひ、ひゃあ！？
なんか出てきたぁ！？
"
"Text_06","……。

"
"Text_07","プルプルしてる……
動いてる……
い、生きてるんだよね、たぶん……。"
"Text_08","……。

"
"Text_09","……街の中に水が流れてるのも、
こんな変な生き物も……見たことない。
やっぱりここ、別の世界なんだ。"
"Text_10","……って！そうだ！
みんなは！？
みんなはどこいっちゃったんだろう！？"
"Text_11","……いない。
私、はぐれちゃったのかなぁ……。
"
"Text_12","……あの。
『扉』を潜ったら……
みんなで一緒に別の世界へ行けるんですか？"
"Text_13","あぁ。
外部からの干渉がなければな。
……さぁ、行こう。"
"Text_14","……ううぅ。
もし、私だけみんなと違う世界に
来ちゃってたらどうしよう。"
"Text_15","……。

"
"Text_16","……ねぇ、あなた。
あなたはみんなの居場所、知ってる？
"
"Text_17","……。

"
"Text_18","……あはは。
なんて、答えてくれるわけない――。
"
"Text_19","あ、あぶなぁぁい！
――うぎゃっ！ 
"
"Text_20","えぇっ！？

"
"Text_21","すみませんっ！
その魔導生物、とても危ないので……！
あの、離れてもらった方が――。"
"Text_22","ギュアッ！！

"
"Text_23","きゃあ！？

"
"Text_24","ギュウウゥゥゥ……。

"
"Text_25","あぁっ、怒ってしまっているみたいですね……！
ここは私が引き受けますので……！
貴方は――。"
"Text_26","ギュアッ！！

"
"Text_27","ひゃあっ！？

"
"Text_28","あ、あのっ！
大丈夫です！
なんだかよくわからないですけど、私、戦えますから！"
"Text_29","ギュウウウウ！

"
"Text_30","……落ち着いてって言っても、聞いてくれないよね。
……っ、だったら、こうするしか！
"
"Text_31","

"
"Text_32","

"
"Text_33","

"
"Text_34","

"
"Text_35","

"
"Text_36","

"
"Text_37","

"
"Text_38","

"
"Text_39","

"
"Text_40","

"
"Text_41","

"
"Text_42","

"
"Text_43","

"
"Text_44","

"
"Text_45","

"
"Text_46","

"
"Text_47","

"
"Text_48","

"
"Text_49","

"
"Text_50","

"
"Text_51","

"
"Text_52","

"
"Text_53","

"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
