"dummy"
"Text_01","……っ！！

"
"Text_02","お前たちの主によく伝えておけ。
エレノア・グローリア、そしてマギス高潔会は、
地上の戦に関与などしないとな！"
"Text_03","……。
今のは……。
"
"Text_04","大した技ではない。
重力を操作し、奴らを外まで弾き飛ばしただけだ。
"
"Text_05","……ねぇ。
あれが、無暁……。
暗殺ギルドなのね。"
"Text_06","あぁそうだ。
全く、こちらを牽制する暇があったら、
素直にブレイドライツの方へ行けばいいものを。"
"Text_07","これから、無暁と何処かがやりあうってこと？

"
"Text_08","そうかもしれんし、そうじゃないのかもしれん。
私が掴んでいる情報はそこまでだ。
全く、イザベル。やはりお前は気にするのか？"
"Text_09","……えぇ。
そうね……。
"
"Text_10","難儀だな。
お前にとって、この世界など何でもないだろうに。
"
"Text_11","……あぁ、いや、待て。そうか。
この世界が崩れれば、この世界に来ている
お前の仲間が困るのか？であるならば――。"
"Text_12","それもそうだけど。
きっと、それだけじゃないわ。
上手く言葉に出来ないけど……。"
"Text_13","……悩む価値があるような気がするのよ。
あたしの目的を差し置いたとしてもね。
"
"Text_14","ふん、そうか。
全く分からんが、分かった。
全く分からんということが分かった。"
"Text_15","……私は悩まない。迷わない。
私は私として咲く。価値ある華として咲く。
そう誓った。"
"Text_16","しかしイザベルよ。
お前は存分に悩むがいい。迷うがいい。
"
"Text_17","悩み、迷い抜いた末の答えは――
ともすれば、私のそれを凌駕するのかもしれん。
有り得んとは思うが、かもしれんからな。"
"Text_18","……そうね。
そうしてみるわ。
"
"Text_19","――私は無暁の奴らが荒らした跡を片付けてくる。
しばし待て。
"
"Text_20","……。

"
"Text_21","この国のことも。
あの子のことも。
ローウェンとのことも。"
"Text_22","そしてカイル……あなたとの未来も。
今のあたしには、まだ、判断がつかないわ。
"
"Text_23","（きっと……こうしていられる時間は長くない。
無暁……ブレイドライツ騎士団……
何かがもう、動いている）"
"Text_24","見つけなくちゃ、いけないわね。
悩んで、迷って……
あたしの答えを……。"
"Text_25","

"
"Text_26","

"
"Text_27","

"
"Text_28","

"
"Text_29","

"
"Text_30","

"
"Text_31","

"
"Text_32","

"
"Text_33","

"
"Text_34","

"
"Text_35","

"
"Text_36","

"
"Text_37","

"
"Text_38","

"
"Text_39","

"
"Text_40","

"
"Text_41","

"
"Text_42","

"
"Text_43","

"
"Text_44","

"
"Text_45","

"
"Text_46","

"
"Text_47","

"
"Text_48","

"
"Text_49","

"
"Text_50","

"
"Text_51","

"
"Text_52","

"
"Text_53","

"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
