"dummy"
"Text_01","はぁっ！

"
"Text_02","嫌だよっ……！
どうしてっ！
"
"Text_03","私だって、貴方と争いたくはありません。
……ですが！貴方は背負ってしまった！
そして、私もまた！"
"Text_04","くっ……！
こんなの、おかしいですよ！
"
"Text_05","では！
私がブレイドライツ騎士団の悪行を
全て話したとして！貴方は信じますか！"
"Text_06","……っ！

"
"Text_07","私たちはただ、この国の役に立ちたいだけなんです。

"
"Text_08","――俺はこの国が好きだ。
この国の在り方が好きだ。
だから護りたい。――そう思っている。"
"Text_09","まぁ、あれだ！それくらい副団長には
魅力があって、だからこそ俺たちは国のために
頑張れるってわけさ！"
"Text_10","そんなこと……！
信じられませんっ！
エリカさんはなにか誤解してるんですっ……！"
"Text_11","くぅっ……！

"
"Text_12","だって、メイシアさんも、セタスさんも、
他の皆さんも……本当に優しかった！
それは嘘じゃない！"
"Text_13","無暁こそ……ひどいことをするじゃないですか！
人の命を奪って、私たちを襲って……！
なのになんで！"
"Text_14","決まっています！
私もまた、貴方の言葉を信じていない！
――信じられるはずもないっ！"
"Text_15","きゃあっ！

"
"Text_16","曲がりなりにもネクサスを倒せたのは、
貴方のおかげです。
感謝しています。……尊敬さえしています。"
"Text_17","しかし……
いえ、だからこそ。
貴方をここで止めます。"
"Text_18","全てを知れば、
貴方はきっと、悲しむでしょうから。
……では。"
"Text_19","では、お覚悟を。

"
"Text_20","……っ！

"
"Text_21","

"
"Text_22","

"
"Text_23","

"
"Text_24","

"
"Text_25","

"
"Text_26","

"
"Text_27","

"
"Text_28","

"
"Text_29","

"
"Text_30","

"
"Text_31","

"
"Text_32","

"
"Text_33","

"
"Text_34","

"
"Text_35","

"
"Text_36","

"
"Text_37","

"
"Text_38","

"
"Text_39","

"
"Text_40","

"
"Text_41","

"
"Text_42","

"
"Text_43","

"
"Text_44","

"
"Text_45","

"
"Text_46","

"
"Text_47","

"
"Text_48","

"
"Text_49","

"
"Text_50","

"
"Text_51","

"
"Text_52","

"
"Text_53","

"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
