"dummy"
"Text_01","……何処に行っても構わない、
なんて言ってたけど……
"
"Text_02","（行く当てなんて、あるわけないし。
どうすればいいのかしら……）
"
"Text_03","……。

"
"Text_04","……ふふ。
変なの……。
"
"Text_05","……っ！？
ル、ルナちゃん！？
"
"Text_06","……お姉さん？

"
"Text_07","ルナちゃん、あなたもこの世界に来ていたのね……。

"
"Text_08","（……考えてみれば、
他の皆がいないのは、おかしかったんだわ。
一緒に別世界へ飛んだはずなのに……。）"
"Text_09","あぁ。
外部からの干渉がなければな。
……さぁ、行こう。"
"Text_10","（……外部から干渉された？
……まさか、ね。）
"
"Text_11","……ぐぅ。

"
"Text_12","……あっ。
でも……行かなきゃ。
"
"Text_13","ま、待って、ルナちゃん！
どこに行くの！？
"
"Text_14","……わかんない。
このおじさんしか、いないから。
このおじさんと一緒に行く……。"
"Text_15","おじさん、って……。

"
"Text_16","……。

"
"Text_17","（害はなさそうだけど……
なぜかしら。
嫌な気配がする……）"
"Text_18","……ルナちゃん。
だったら、あたしと一緒に行きましょう？
その方が……。"
"Text_19","……。
ふわぁ。
"
"Text_20","……きゃあっ！？

"
"Text_21","（今のはなに……！？
魔力を放ったの……！？
そんな様子はなかったのに……！）"
"Text_22","……ん？

"
"Text_23","（駄目だわ……！
戦わないと……あたしがやられるっ！）
"
"Text_24","……っ！
やるつもりなの！？
"
"Text_25","……やるつもりか。
寝起きだからな……加減が出来るか、どうか。
"
"Text_26","だ、だめだよ、おじさん……！
あのお姉さんは、ルナの……！
"
"Text_27","ルナちゃん、下がっていて！
……肌で感じるの。彼は危険よ！
だから……こうするしかない！"
"Text_28","だ、だめっ！
だめだよ！
お姉さん、戦わないでぇっ！"
"Text_29","

"
"Text_30","

"
"Text_31","

"
"Text_32","

"
"Text_33","

"
"Text_34","

"
"Text_35","

"
"Text_36","

"
"Text_37","

"
"Text_38","

"
"Text_39","

"
"Text_40","

"
"Text_41","

"
"Text_42","

"
"Text_43","

"
"Text_44","

"
"Text_45","

"
"Text_46","

"
"Text_47","

"
"Text_48","

"
"Text_49","

"
"Text_50","

"
"Text_51","

"
"Text_52","

"
"Text_53","

"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
