"dummy"
"Text_01","くっ……！
ルナちゃん、邪魔しないでっ！
その男は危ないわっ！"
"Text_02","お姉さんっ！

"
"Text_03","これでも……食らいなさいっ！

"
"Text_04","……。

"
"Text_05","くぅっ……！？

"
"Text_06","（な、なんなの、この男……！
何発当てても、倒れるどころか、
傷一つ付かないなんて！）"
"Text_07","お前の魔法……この世界のものじゃない。
そうか、お前もルナと同じか。
"
"Text_08","……っ！
倒れなさいっ！
"
"Text_09","……なら、オレに挑戦したかったワケじゃないんだな。
悪かった。
"
"Text_10","……っ、嘘でしょ！？
正真正銘、全力で撃ったのに……！
"
"Text_11","……お前も一緒に来るか？

"
"Text_12","……。
どこへ行くと言うの？
"
"Text_13","別に……決まってないけど。

"
"Text_14","……だったらお断りするわ。

"
"Text_15","そっか……。
まぁ、気を付けてくれ。
"
"Text_16","……。

"
"Text_17","……ルナちゃん。
どうしても、その人と一緒にいたいの？
"
"Text_18","……わかんない。
でも……あのおじさん、優しいから……。
"
"Text_19","……。

"
"Text_20","（……ルナちゃん。
あの子の心配をしてる場合じゃないって、
分かってるけど、でも……）"
"Text_21","……なら、オレに挑戦したかったワケじゃないんだな。
悪かった。
"
"Text_22","……っ。
化け物。あれは……人じゃない。
あんなもの、見たこともないわ。"
"Text_23","エレノア・グローリア。
そして、あの男……。
あれが……別世界に生きる者たちなのね……。"
"Text_24","……もし。
ここに生きる者たちの力の一部でも、
手に入れることが出来たなら……。"
"Text_25","……カイル。
あなたを望んでいてもいいのかしら……。
"
"Text_26","

"
"Text_27","

"
"Text_28","

"
"Text_29","

"
"Text_30","

"
"Text_31","

"
"Text_32","

"
"Text_33","

"
"Text_34","

"
"Text_35","

"
"Text_36","

"
"Text_37","

"
"Text_38","

"
"Text_39","

"
"Text_40","

"
"Text_41","

"
"Text_42","

"
"Text_43","

"
"Text_44","

"
"Text_45","

"
"Text_46","

"
"Text_47","

"
"Text_48","

"
"Text_49","

"
"Text_50","

"
"Text_51","

"
"Text_52","

"
"Text_53","

"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
