"dummy"
"Text_01","[ROAR]"
"Text_02","Well done, Arisa."
"Text_03","Thank you."
"Text_04","Um. I'm sorry, but I can't remember your name."
"Text_05","It was long ago that we met. It's no surprise that you don't remember me."
"Text_06","My name is Eris. I happened upon you lost in the forest. You mentioned a fight with a friend."
"Text_07","Oh, of course! You've helped me out so much, thank you."
"Text_08","You have nothing to thank me for. You found the strength within yourself and overcame your fears."
"Text_09","This time I'm trying to save my friend who's in danger. I just hope I can..."
"Text_10","You are no longer the scared little girl lost in the forest. Have faith in yourself and you will find the light."
"Text_11","I've been taught a thing or two since then. Thank you."
"Text_12","There is no doubt in my mind that you will find her."
"Text_13","I hope one day I can repay you."
"Text_14","May your despair become your liberation."
