"dummy"
"Text_01","There's no time..."
"Text_02","Excuse me."
"Text_03","I'm on urgent business."
"Text_04","Urias Formonde."
"Text_05","Who are you? What do you know?"
"Text_06","I am Eris Anthule, a humble priestess. I can save you from the sorrow that awaits."
"Text_07","That is kind of you, but I can see off any threats myself."
"Text_08","Have you not failed once already?"
"Text_09","I beg your pardon! What concern is that to you?"
"Text_10","Oh, it is a great concern. The princess's life is in more danger than you realize."
"Text_11","There is a secret nearly lost to history..."
"Text_12","If you know something, then tell me now!"
"Text_13","The daughter of King Balthazar was not the victim of consumption that most believe her to be."
"Text_14","What are you trying to say?"
"Text_15","She was sacrificed to banish Urias Formonde."
"Text_16","That's enough of your slander!"
