"dummy"
"Text_01","[ROAR]"
"Text_02","Now where is Urias?"
"Text_03","Allow me to answer."
"Text_04","You again."
"Text_05","Urias is making his way to the Morning Star. If you move quickly, you can defeat him and save the princess."
"Text_06","Say I decide to trust you. What would you get from this?"
"Text_07","I get to save you and others from terrible pain and suffering."
"Text_08","(She wasn't lying before, and I have nothing else to go on.)"
"Text_09","Thank you."
"Text_10","This is the cause to which I have dedicated my life."
"Text_11","May your despair become your liberation."
"Text_12","There will be time for more questions later."
"Text_13","Now to save the princess."
