"dummy"
"Text_01","Forgive me... Forgive..."
"Text_02","(I know that people are suffering.)"
"Text_03","(But I can't believe that her way to happiness is right.)"
"Text_04","(Would I understand better if I still had my memories?)"
"Text_05","(Ah! It's happening again!)"
"Text_06","Allow me to answer."
"Text_07","You again."
"Text_08","I get to save you and others from terrible pain and suffering."
"Text_09","(That place, it could only be the royal mausoleum.)"
"Text_10","(I fear the worst for the people whom she encounters.)"
"Text_11","I can't let her hurt anyone else."
