"dummy"
"Text_01","You... You're!"
"Text_02","That was faster than expected."
"Text_03","Faster than expected? I remembered something and rushed back here."
"Text_04","No, we didn't. For a brief moment you and I were reunited and we saw as one."
"Text_05","What do you mean? Who are you?"
"Text_06","And why do you look like me?"
"Text_07","You and I are the same. We are Eris Anthule."
"Text_08","Excuse me?"
"Text_09","We'll never meet again. I'm alone…"
"Text_10","The woman I saw!"
"Text_11","Why are you attacking me? This is the sacred hall!"
