"dummy"
"Text_01","うぅっ！

"
"Text_02","……っ！
はぁっ！
"
"Text_03","きゃあっ！？

"
"Text_04","もう、邪魔はしないで下さ――。

"
"Text_05","……っ！？

"
"Text_06","――っ。

"
"Text_07","は、はぁ、はぁ、はぁ……。
い、今のは……？
"
"Text_08","……十分だ。

"
"Text_09","……仲間、なのだろう。
あまり傷付けるな。
己まで傷付いてしまう……。"
"Text_10","……。

"
"Text_11","え、エリカさん……。

"
"Text_12","……。
アリサさん。
私には私の道があります。"
"Text_13","ま、待ってください！
エリカさん！
"
"Text_14","……もう、関わらないでください。

"
"Text_15","エリカ、さん……。

"
"Text_16","……はぁ。
行っちゃった。
"
"Text_17","（でも、エリカさんがいたってことは……
他の皆もいるよね、きっと……）
"
"Text_18","探さなきゃ。
皆、私みたいに不安になってるかもしれないし！
"
"Text_19","……でも、どうやって探そう？
この街、広いし……。
"
"Text_20","……おっ？
君は、さっきのお嬢ちゃんじゃないか。
"
"Text_21","物騒な音がしたんで飛んできたんだが……
なんかあったかい？
"
"Text_22","えっと……。

"
"Text_23","（……どうしよう。
なんて答えたらいいかな……）
"
"Text_24","――。
もし、君が望んだ時には頼ってくれ。
俺たちは正義のギルド。必ず役に立つだろう。"
"Text_25","（……聞いてみよう。
本当のこと話して、
それから、どうすればいいかって……）"
"Text_26","あの、一緒にギルドまで戻ってもいいですか？
それで、そこで話してもいいですか……？
"
"Text_27","あぁ、もちろんだ。
それじゃあ、戻るとしよう。
"
"Text_28","はい！

"
"Text_29","（皆で協力するって、決めたんだから！
セタスさんとメイシアさんに色々話して、
絶対に皆を探し出さないと！）"
"Text_30","

"
"Text_31","

"
"Text_32","

"
"Text_33","

"
"Text_34","

"
"Text_35","

"
"Text_36","

"
"Text_37","

"
"Text_38","

"
"Text_39","

"
"Text_40","

"
"Text_41","

"
"Text_42","

"
"Text_43","

"
"Text_44","

"
"Text_45","

"
"Text_46","

"
"Text_47","

"
"Text_48","

"
"Text_49","

"
"Text_50","

"
"Text_51","

"
"Text_52","

"
"Text_53","

"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
