"dummy"
"Text_01","ふむ。

"
"Text_02","……っ！

"
"Text_03","（なんて子なの……
魔導書を読み上げるだけで、
これほどの魔力を引き出せるなんて……！）"
"Text_04","なるほどな。
なるほど、なるほど……。
"
"Text_05","……くぅっ！

"
"Text_06","（それに、この魔法……！
重力に干渉しているの……！？
たった一人で、詠唱も無しに……！）"
"Text_07","――よし。
理解した。
"
"Text_08","……っ！
はぁ、はぁ、はぁ……！
"
"Text_09","結論から言おう。やはりお前の魔法は興味深い。
呼吸で得た大気の魔力を全身に伝達し、魔法陣を形成、
出力などは魔法陣が演算し、発動。"
"Text_10","そこまでは分かるが、それより深くは見えてこない。
故に、興味深い。はっきり言って気が動転しているよ。
まさか私が測れん魔法があるとはな。"
"Text_11","しかし何より興味深いのはお前自身だ。この私の魔法の
正体をいち早く見抜き、対抗した。もう数秒あれば、私が
かけた重力を打ち払っていたのではないか？"
"Text_12","はぁ、はぁ……
えぇ、まぁ、そうね……
その後のことは考えてなかったけど……"
"Text_13","フフ。
いや、興味深いという言葉は適切ではないな。
なぜなら今、私の中で興味が好意へと変わりつつある。"
"Text_14","……えっ？

"
"Text_15","イザベル。
お前はマギス高潔会に入るべきだ。
入れ。歓迎しよう。"
"Text_16","えっ！？
ちょっと、あのっ……！
"
"Text_17","お前にはまだ理解出来んことだろうが、
我々の仲間となれることはこの上ない栄誉なのだ。
やがて理解し、感謝するが良い。さて、行くぞ。"
"Text_18","ちょ、ちょっと待って！引っ張らないでっ……！
どこに行くのよっ……！
"
"Text_19","決まっている。幾ら優れた能力を持つとはいえ、
この世界の全てを知るわけでもあるまい。
案内してやろう。そら。こっちだ。"
"Text_20","きゃ、きゃあっ！
引っ張らないでよっ！
"
"Text_21","急ぐぞ、イザベル。
今日は特別忙しい日になるだろう。
"
"Text_22","

"
"Text_23","

"
"Text_24","

"
"Text_25","

"
"Text_26","

"
"Text_27","

"
"Text_28","

"
"Text_29","

"
"Text_30","

"
"Text_31","

"
"Text_32","

"
"Text_33","

"
"Text_34","

"
"Text_35","

"
"Text_36","

"
"Text_37","

"
"Text_38","

"
"Text_39","

"
"Text_40","

"
"Text_41","

"
"Text_42","

"
"Text_43","

"
"Text_44","

"
"Text_45","

"
"Text_46","

"
"Text_47","

"
"Text_48","

"
"Text_49","

"
"Text_50","

"
"Text_51","

"
"Text_52","

"
"Text_53","

"
"Text_54","

"
"Text_55","

"
"Text_56","

"
"Text_57","

"
"Text_58","

"
"Text_59","

"
"Text_60","

"
"Text_61","

"
"Text_62","

"
"Text_63","

"
"Text_64","

"
"Text_65","

"
"Text_66","

"
"Text_67","

"
"Text_68","

"
"Text_69","

"
"Text_70","

"
"Text_71","

"
"Text_72","

"
"Text_73","

"
"Text_74","

"
"Text_75","

"
"Text_76","

"
"Text_77","

"
"Text_78","

"
"Text_79","

"
"Text_80","

"
"Text_81","

"
"Text_82","

"
"Text_83","

"
"Text_84","

"
"Text_85","

"
"Text_86","

"
"Text_87","

"
"Text_88","

"
"Text_89","

"
"Text_90","

"
"Text_91","

"
"Text_92","

"
"Text_93","

"
"Text_94","

"
"Text_95","

"
"Text_96","

"
"Text_97","

"
"Text_98","

"
"Text_99","

"
"Text_100","

"
"Text_101","

"
"Text_102","

"
"Text_103","

"
"Text_104","

"
"Text_105","

"
"Text_106","

"
"Text_107","

"
"Text_108","

"
"Text_109","

"
"Text_110","

"
"Text_111","

"
"Text_112","

"
"Text_113","

"
"Text_114","

"
"Text_115","

"
"Text_116","

"
"Text_117","

"
"Text_118","

"
"Text_119","

"
"Text_120","

"
"Text_121","

"
"Text_122","

"
"Text_123","

"
"Text_124","

"
"Text_125","

"
"Text_126","

"
"Text_127","

"
"Text_128","

"
"Text_129","

"
"Text_130","

"
"Text_131","

"
"Text_132","

"
"Text_133","

"
"Text_134","

"
